Partner,Sector,Required,Receive,Quarter,Gap,Reported,Year,NewReceived
ICSC,EDUCATION,449995,0,4- Fourth Quarter,449995,Yes,2015,0
ICSC,PROTECTION,1500000,0,4- Fourth Quarter,1500000,Yes,2015,0
ILO,PROTECTION,700000,0,4- Fourth Quarter,700000,Yes,2015,0
IMC,HEALTH,1062003,150000,4- Fourth Quarter,912003,Yes,2015,0
IMC,PROTECTION,1743401,50000,4- Fourth Quarter,1693401,Yes,2015,0
Intersos,BASIC NEEDS,777000,0,4- Fourth Quarter,777000,Yes,2015,0
Intersos,EDUCATION,732000,0,4- Fourth Quarter,732000,Yes,2015,0
Intersos,PROTECTION,1783600,1860583,4- Fourth Quarter,-76983,Yes,2015,0
Intersos,SHELTER,845000,0,4- Fourth Quarter,845000,Yes,2015,0
IOM,HEALTH,1133606,414935,4- Fourth Quarter,718671,Yes,2015,0
IOM,PROTECTION,4750000,200000,4- Fourth Quarter,4550000,Yes,2015,0
IR,EDUCATION,2276730,907115,4- Fourth Quarter,1369615,Yes,2015,0
IR,FOOD SECURITY,37836.18,580667,4- Fourth Quarter,-542830.82,Yes,2015,0
IR,SHELTER,1370233,1093453,4- Fourth Quarter,276780,Yes,2015,0
IRC,BASIC NEEDS,1974564,2185410,4- Fourth Quarter,-210846,Yes,2015,0
IRC,HEALTH,2479230,3682226,4- Fourth Quarter,-1202996,Yes,2015,105000
IRC,PROTECTION,546325,2272740,4- Fourth Quarter,-1726415,Yes,2015,19290
IRD,HEALTH,1008000,1938252,4- Fourth Quarter,-930252,Yes,2015,868248
IRD,WASH,1190000,0,4- Fourth Quarter,1190000,Yes,2015,0
JEN,BASIC NEEDS,300000,0,4- Fourth Quarter,300000,Yes,2015,0
JEN,EDUCATION,500500,384980,4- Fourth Quarter,115520,Yes,2015,0
JEN,WASH,653198,890693,4- Fourth Quarter,-237495,Yes,2015,0
JHAS,BASIC NEEDS,1784640,0,4- Fourth Quarter,1784640,Yes,2015,0
JHAS,HEALTH,1569000,0,4- Fourth Quarter,1569000,Yes,2015,0
JHAS,PROTECTION,1700000,0,4- Fourth Quarter,1700000,Yes,2015,0
JHAS,SHELTER,208000,0,4- Fourth Quarter,208000,Yes,2015,0
KfW,SHELTER,3000000,0,4- Fourth Quarter,3000000,Yes,2015,0
KnK,EDUCATION,454400,881352,4- Fourth Quarter,-426952,Yes,2015,0
LWF,BASIC NEEDS,1300000,1508771,4- Fourth Quarter,-208771,Yes,2015,518148
LWF,EDUCATION,740000,419309,4- Fourth Quarter,320691,Yes,2015,77309
LWF,PROTECTION,645000,828877,4- Fourth Quarter,-183877,Yes,2015,392775
LWF,SHELTER,800000,249782,4- Fourth Quarter,550218,Yes,2015,150430
LWF,WASH,15000,399582,4- Fourth Quarter,-384582,Yes,2015,206497
MECI,EDUCATION,169000,14095,4- Fourth Quarter,154905,Yes,2015,14095
MEDAIR,BASIC NEEDS,1727924,1721787,4- Fourth Quarter,6137,Yes,2015,1126446
MEDAIR,HEALTH,660151.3,869705,4- Fourth Quarter,-209553.7,Yes,2015,686548
MEDAIR,PROTECTION,60996,0,4- Fourth Quarter,60996,Yes,2015,0
MEDAIR,SHELTER,2001182,57300,4- Fourth Quarter,1943882,Yes,2015,0
Mercy Corps,PROTECTION,4700000,4737288,4- Fourth Quarter,-37288,Yes,2015,4737288
Mercy Corps,WASH,5000000,500000,4- Fourth Quarter,4500000,Yes,2015,0
MPDL,PROTECTION,390000,174186,4- Fourth Quarter,215814,Yes,2015,0
NEF,BASIC NEEDS,5520000,0,4- Fourth Quarter,5520000,Yes,2015,0
NICCOD,BASIC NEEDS,354200,366979,4- Fourth Quarter,-12779,Yes,2015,0
NICCOD,HEALTH,180600,237752,4- Fourth Quarter,-57152,Yes,2015,0
NICCOD,PROTECTION,427400,392521,4- Fourth Quarter,34879,Yes,2015,0
NICCOD,WASH,39100,253612,4- Fourth Quarter,-214512,Yes,2015,0
NRC,BASIC NEEDS,6000000,1082222,4- Fourth Quarter,4917778,Yes,2015,0
NRC,EDUCATION,3819000,3174211,4- Fourth Quarter,644789,Yes,2015,0
NRC,PROTECTION,300000,300000,4- Fourth Quarter,0,Yes,2015,0
NRC,SHELTER,8885400,8978213,4- Fourth Quarter,-92813,Yes,2015,100023
OXFAM,BASIC NEEDS,3304445,746690.893,4- Fourth Quarter,2557754.107,Yes,2015,598760.893
OXFAM,EDUCATION,270000,0,4- Fourth Quarter,270000,Yes,2015,0
OXFAM,PROTECTION,534000,546891.6967,4- Fourth Quarter,-12891.69674,Yes,2015,148495.6967
OXFAM,WASH,9454656,3496758.736,4- Fourth Quarter,5957897.264,Yes,2015,801243.7357
PU-AMI,BASIC NEEDS,1072500,270874,4- Fourth Quarter,801626,Yes,2015,0
PU-AMI,HEALTH,90000,0,4- Fourth Quarter,90000,Yes,2015,0
PU-AMI,PROTECTION,368248,314740,4- Fourth Quarter,53508,Yes,2015,0
PU-AMI,SHELTER,2028774,172887,4- Fourth Quarter,1855887,Yes,2015,0
QRC,HEALTH,3360000,1682518,4- Fourth Quarter,1677482,Yes,2015,85000
Questcope,EDUCATION,270700,0,4- Fourth Quarter,270700,Yes,2015,0
Questcope,PROTECTION,1230000,127300,4- Fourth Quarter,1102700,Yes,2015,0
RI,EDUCATION,1000000,750000,4- Fourth Quarter,250000,Yes,2015,750000
RI,WASH,1687500,0,4- Fourth Quarter,1687500,Yes,2015,0
SC Jordan,PROTECTION,600276,312490,4- Fourth Quarter,287786,Yes,2015,127675
SCI,BASIC NEEDS,5940000,6015149,4- Fourth Quarter,-75149,Yes,2015,1100000
SCI,EDUCATION,11413738,10402852,4- Fourth Quarter,1010886,Yes,2015,252000
SCI,PROTECTION,1198314,2351774,4- Fourth Quarter,-1153460,Yes,2015,1300000
TDH,PROTECTION,759915,1360346,4- Fourth Quarter,-600431,Yes,2015,0
Un Women,FOOD SECURITY,25000,0,4- Fourth Quarter,25000,Yes,2015,0
Un Women,PROTECTION,1019000,700000,4- Fourth Quarter,319000,Yes,2015,100000
UNESCO,EDUCATION,2350000,0,4- Fourth Quarter,2350000,Yes,2015,0
UNFPA,FOOD SECURITY,28000,0,4- Fourth Quarter,28000,Yes,2015,0
UNFPA,HEALTH,4425230,3261736,4- Fourth Quarter,1163494,Yes,2015,310000
UNFPA,PROTECTION,7176620,2463575,4- Fourth Quarter,4713045,Yes,2015,495751
UNHCR,BASIC NEEDS,97851431,87589956.68,4- Fourth Quarter,10261474.32,Yes,2015,22941266.82
UNHCR,EDUCATION,3098087,918754.5315,4- Fourth Quarter,2179332.469,Yes,2015,0
UNHCR,HEALTH,19566426,19566426,4- Fourth Quarter,0,Yes,2015,2446743.826
UNHCR,PROTECTION,62920689,57457814.8,4- Fourth Quarter,5462874.2,Yes,2015,16840526.9
UNHCR,SHELTER,95162239,25129218.2,4- Fourth Quarter,70033020.8,Yes,2015,5039309.663
UNHCR,WASH,10196998,726028.2892,4- Fourth Quarter,9470969.714,Yes,2015,0
UNICEF,BASIC NEEDS,31500000,31210557,4- Fourth Quarter,289443,Yes,2015,17202268
UNICEF,EDUCATION,42354500,40885763,4- Fourth Quarter,1468737,Yes,2015,15600000
UNICEF,HEALTH,6710000,4100706,4- Fourth Quarter,2609294,Yes,2015,358600
UNICEF,PROTECTION,20045232,20901133,4- Fourth Quarter,-855901,Yes,2015,6800000
UNICEF,WASH,43350000,60957190,4- Fourth Quarter,-17607190,Yes,2015,11513264
UNOPS,PROTECTION,2000000,1400000,4- Fourth Quarter,600000,Yes,2015,0
UPP,PROTECTION,374910,0,4- Fourth Quarter,374910,Yes,2015,0
WarChild UK,EDUCATION,645000,150000,4- Fourth Quarter,495000,Yes,2015,0
WarChild UK,PROTECTION,814100,7000,4- Fourth Quarter,807100,Yes,2015,0
WFP,FOOD SECURITY,232471740,187016177,4- Fourth Quarter,45455563,Yes,2015,80966740
WHO,HEALTH,1200000,400000,4- Fourth Quarter,800000,Yes,2015,0
WVI,BASIC NEEDS,820000,1462441,4- Fourth Quarter,-642441,Yes,2015,689309
WVI,EDUCATION,1950000,5151159,4- Fourth Quarter,-3201159,Yes,2015,1359081
WVI,FOOD SECURITY,799996,3098181,4- Fourth Quarter,-2298185,Yes,2015,2589336
WVI,PROTECTION,400600,0,4- Fourth Quarter,400600,Yes,2015,0
WVI,WASH,1310000,1595178,4- Fourth Quarter,-285178,Yes,2015,0
ACF,BASIC NEEDS,3872600,807148,0- Overall,3065452,Yes,2015,807148
ACF,PROTECTION,571600,373562,0- Overall,198038,Yes,2015,373562
ACF,WASH,0,98814,0- Overall,-98814,Yes,2015,98814
ACTED,EDUCATION,225000,0,0- Overall,225000,Yes,2015,0
ACTED,FOOD SECURITY,235900,657398,0- Overall,235900,Yes,2015,657398
ACTED,PROTECTION,1325500,0,0- Overall,1325500,Yes,2015,0
ACTED,SHELTER,1050000,0,0- Overall,1050000,Yes,2015,0
ACTED,WASH,3761000,1200000,0- Overall,3761000,Yes,2015,1200000
ActionAid,BASIC NEEDS,600280,245624,0- Overall,354656,Yes,2015,245624
ActionAid,EDUCATION,269200,71566,0- Overall,197634,Yes,2015,71566
ActionAid,PROTECTION,1157350,141163,0- Overall,1016187,Yes,2015,141163
APS,PROTECTION,154420,183540,0- Overall,-29120,Yes,2015,183540
AVSI,BASIC NEEDS,790000,95760,0- Overall,694240,Yes,2015,95760
AVSI,EDUCATION,207500,271322,0- Overall,-63822,Yes,2015,271322
CARE,BASIC NEEDS,1081976,7409828.5,0- Overall,-1111694,Yes,2015,7409828.5
CARE,PROTECTION,3020240,6639226.5,0- Overall,-1383490,Yes,2015,6639226.5
Caritas,BASIC NEEDS,5845690,2743804,0- Overall,4821405,Yes,2015,2743804
Caritas,EDUCATION,3334634.97,3060674,0- Overall,2417191.97,Yes,2015,3060674
Caritas,FOOD SECURITY,1355932,1459746,0- Overall,1110410,Yes,2015,1459746
Caritas,HEALTH,3846200,2967654,0- Overall,3519004,Yes,2015,2967654
Caritas,PROTECTION,138330.94,196718,0- Overall,68216.94,Yes,2015,196718
Caritas,SHELTER,2699680,1655575,0- Overall,2051096,Yes,2015,1655575
Caritas,WASH,532635,241243,0- Overall,308600,Yes,2015,241243
CVT,HEALTH,3600000,3299999.667,0- Overall,3600000,Yes,2015,3299999.667
DRC,EDUCATION,562358,0,0- Overall,562358,Yes,2015,0
DRC,PROTECTION,4462056,6517495,0- Overall,475664,Yes,2015,6517495
DRC,WASH,230000,0,0- Overall,230000,Yes,2015,0
FAO,FOOD SECURITY,1300000,950000,0- Overall,350000,Yes,2015,950000
FCA,EDUCATION,2769760,793250,0- Overall,1952104,Yes,2015,793250
FPSC,EDUCATION,500000,0,0- Overall,500000,Yes,2015,0
FPSC,FOOD SECURITY,150000,0,0- Overall,150000,Yes,2015,0
FPSC,PROTECTION,1664816,908028,0- Overall,762574,Yes,2015,908028
HI,BASIC NEEDS,1494000,994350,0- Overall,499650,Yes,2015,994350
HI,HEALTH,3599000,4311035,0- Overall,-123576,Yes,2015,4311035
HI,PROTECTION,900000,1176862,0- Overall,-80709,Yes,2015,1176862
ICMC,BASIC NEEDS,1191632,1571535,0- Overall,818321,Yes,2015,1571535
ICMC,EDUCATION,195667,90023,0- Overall,180043,Yes,2015,90023
ICMC,PROTECTION,510246.1,405502,0- Overall,241862.1,Yes,2015,405502
ICMC,SHELTER,506210.7,609662,0- Overall,145328.7,Yes,2015,609662
ICMC,WASH,357491.6,260846,0- Overall,203794.6,Yes,2015,260846
ICSC,EDUCATION,449995,0,0- Overall,449995,Yes,2015,0
ICSC,PROTECTION,1500000,0,0- Overall,1500000,Yes,2015,0
ILO,PROTECTION,700000,0,0- Overall,700000,Yes,2015,0
IMC,HEALTH,1062003,150000,0- Overall,912003,Yes,2015,150000
IMC,PROTECTION,1743401,50000,0- Overall,1693401,Yes,2015,50000
Intersos,BASIC NEEDS,777000,0,0- Overall,777000,Yes,2015,0
Intersos,EDUCATION,732000,0,0- Overall,732000,Yes,2015,0
Intersos,PROTECTION,1783600,1860583,0- Overall,-76983,Yes,2015,1860583
Intersos,SHELTER,845000,0,0- Overall,845000,Yes,2015,0
IOM,HEALTH,1133606,414935,0- Overall,718671,Yes,2015,414935
IOM,PROTECTION,4750000,200000,0- Overall,4550000,Yes,2015,200000
IR,EDUCATION,2276730,907115,0- Overall,1369615,Yes,2015,907115
IR,FOOD SECURITY,37836.18,580667,0- Overall,-542830.82,Yes,2015,580667
IR,SHELTER,1370233,1093453,0- Overall,276780,Yes,2015,1093453
IRC,BASIC NEEDS,1974564,2185410,0- Overall,55203,Yes,2015,2185410
IRC,HEALTH,2479230,3682226,0- Overall,-1161362,Yes,2015,3682226
IRC,PROTECTION,546325,2272740,0- Overall,-1341140,Yes,2015,2272740
IRD,HEALTH,1008000,1938252,0- Overall,-62004,Yes,2015,1938252
IRD,WASH,1190000,0,0- Overall,1190000,Yes,2015,0
JEN,BASIC NEEDS,300000,0,0- Overall,300000,Yes,2015,0
JEN,EDUCATION,500500,384980,0- Overall,115520,Yes,2015,384980
JEN,WASH,653198,890693,0- Overall,-237495,Yes,2015,890693
JHAS,BASIC NEEDS,1784640,0,0- Overall,1784640,Yes,2015,0
JHAS,HEALTH,1569000,0,0- Overall,1569000,Yes,2015,0
JHAS,PROTECTION,1700000,0,0- Overall,1700000,Yes,2015,0
JHAS,SHELTER,208000,0,0- Overall,208000,Yes,2015,0
KfW,SHELTER,3000000,0,0- Overall,3000000,Yes,2015,0
KnK,EDUCATION,454400,881352,0- Overall,-426952,Yes,2015,881352
LWF,BASIC NEEDS,1300000,1508771,0- Overall,309377,Yes,2015,1508771
LWF,EDUCATION,740000,419309,0- Overall,398000,Yes,2015,419309
LWF,PROTECTION,645000,828877,0- Overall,208898,Yes,2015,828877
LWF,SHELTER,800000,249782,0- Overall,700648,Yes,2015,249782
LWF,WASH,15000,399582,0- Overall,-178085,Yes,2015,399582
MECI,EDUCATION,169000,14095,0- Overall,169000,Yes,2015,14095
MEDAIR,BASIC NEEDS,1727924,1721787,0- Overall,1132583,Yes,2015,1721787
MEDAIR,HEALTH,660151.3,869705,0- Overall,476994.3,Yes,2015,869705
MEDAIR,PROTECTION,60996,0,0- Overall,60996,Yes,2015,0
MEDAIR,SHELTER,2001182,57300,0- Overall,1943882,Yes,2015,57300
Mercy Corps,PROTECTION,4700000,4737288,0- Overall,4700000,Yes,2015,4737288
Mercy Corps,WASH,5000000,500000,0- Overall,4500000,Yes,2015,500000
MPDL,PROTECTION,390000,174186,0- Overall,215814,Yes,2015,174186
NEF,BASIC NEEDS,5520000,0,0- Overall,5520000,Yes,2015,0
NICCOD,BASIC NEEDS,354200,366979,0- Overall,-12779,Yes,2015,366979
NICCOD,HEALTH,180600,237752,0- Overall,-57152,Yes,2015,237752
NICCOD,PROTECTION,427400,392521,0- Overall,34879,Yes,2015,392521
NICCOD,WASH,39100,253612,0- Overall,-214512,Yes,2015,253612
NRC,BASIC NEEDS,6000000,1082222,0- Overall,4917778,Yes,2015,1082222
NRC,EDUCATION,3819000,3174211,0- Overall,644789,Yes,2015,3174211
NRC,PROTECTION,300000,300000,0- Overall,0,Yes,2015,300000
NRC,SHELTER,8885400,8978213,0- Overall,7210,Yes,2015,8978213
OXFAM,BASIC NEEDS,3304445,746690.893,0- Overall,3304445,Yes,2015,746690.893
OXFAM,EDUCATION,270000,0,0- Overall,270000,Yes,2015,0
OXFAM,PROTECTION,534000,546891.6967,0- Overall,274763,Yes,2015,546891.6967
OXFAM,WASH,9454656,3496758.736,0- Overall,7546703,Yes,2015,3496758.736
PU-AMI,BASIC NEEDS,1072500,270874,0- Overall,801626,Yes,2015,270874
PU-AMI,HEALTH,90000,0,0- Overall,90000,Yes,2015,0
PU-AMI,PROTECTION,368248,314740,0- Overall,53508,Yes,2015,314740
PU-AMI,SHELTER,2028774,172887,0- Overall,1855887,Yes,2015,172887
QRC,HEALTH,3360000,1682518,0- Overall,3360000,Yes,2015,1682518
Questcope,EDUCATION,270700,0,0- Overall,270700,Yes,2015,0
Questcope,PROTECTION,1230000,127300,0- Overall,1102700,Yes,2015,127300
RI,EDUCATION,1000000,750000,0- Overall,1000000,Yes,2015,750000
RI,WASH,1687500,0,0- Overall,1687500,Yes,2015,0
SC Jordan,PROTECTION,600276,312490,0- Overall,600276,Yes,2015,312490
SCI,BASIC NEEDS,5940000,6015149,0- Overall,1024850.5,Yes,2015,6015149
SCI,EDUCATION,11413738,10402852,0- Overall,1262886,Yes,2015,10402852
SCI,PROTECTION,1198314,2351774,0- Overall,146540,Yes,2015,2351774
TDH,PROTECTION,759915,1360346,0- Overall,-600431,Yes,2015,1360346
Un Women,FOOD SECURITY,25000,0,0- Overall,25000,Yes,2015,0
Un Women,PROTECTION,1019000,700000,0- Overall,419000,Yes,2015,700000
UNESCO,EDUCATION,2350000,0,0- Overall,2350000,Yes,2015,0
UNFPA,FOOD SECURITY,28000,0,0- Overall,28000,Yes,2015,0
UNFPA,HEALTH,4425230,3261736,0- Overall,1473493.98,Yes,2015,3261736
UNFPA,PROTECTION,7176620,2463575,0- Overall,5208795.98,Yes,2015,2463575
UNHCR,BASIC NEEDS,97851431,87589956.68,0- Overall,33202741.13,Yes,2015,87589956.68
UNHCR,EDUCATION,3098087,918754.5315,0- Overall,2179332.469,Yes,2015,918754.5315
UNHCR,HEALTH,19566426,19566426,0- Overall,2446743.826,Yes,2015,19566426
UNHCR,PROTECTION,62920689,57457814.8,0- Overall,22303401.1,Yes,2015,57457814.8
UNHCR,SHELTER,95162239,25129218.2,0- Overall,75072330.47,Yes,2015,25129218.2
UNHCR,WASH,10196998,726028.2892,0- Overall,9470970.072,Yes,2015,726028.2892
UNICEF,BASIC NEEDS,31500000,31210557,0- Overall,18571711,Yes,2015,31210557
UNICEF,EDUCATION,42354500,40885763,0- Overall,17068737,Yes,2015,40885763
UNICEF,HEALTH,6710000,4100706,0- Overall,2967894,Yes,2015,4100706
UNICEF,PROTECTION,20045232,20901133,0- Overall,5944099,Yes,2015,20901133
UNICEF,WASH,43350000,60957190,0- Overall,-6093926,Yes,2015,60957190
UNOPS,PROTECTION,2000000,1400000,0- Overall,600000,Yes,2015,1400000
UPP,PROTECTION,374910,0,0- Overall,374910,Yes,2015,0
WarChild UK,EDUCATION,645000,150000,0- Overall,495000,Yes,2015,150000
WarChild UK,PROTECTION,814100,7000,0- Overall,807100,Yes,2015,7000
WFP,FOOD SECURITY,232471740,187016177,0- Overall,126422303,Yes,2015,187016177
WHO,HEALTH,1200000,400000,0- Overall,800000,Yes,2015,400000
WVI,BASIC NEEDS,820000,1462441,0- Overall,46868,Yes,2015,1462441
WVI,EDUCATION,1950000,5151159,0- Overall,-1842078,Yes,2015,5151159
WVI,FOOD SECURITY,799996,3098181,0- Overall,291151,Yes,2015,3098181
WVI,PROTECTION,400600,0,0- Overall,400600,Yes,2015,0
WVI,WASH,1310000,1595178,0- Overall,-285178,Yes,2015,1595178
